WindowId,Day,Session,Method,Start Date,End Date,Fulfilment Centre,Fulfilment Type,Start Time,End Time,Web Cutoff Day,Web Cutoff Time,Pickup Day,Pickup Time,Region,Limit,IsDelete
68866,Sunday,1102 CCAM,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,08:00,09:00,Saturday,18:00,Sunday,05:15,1102 Vincentia LOCAL,40,
0,Sunday,1102 CCAM,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,09:00,10:00,Saturday,18:00,Sunday,05:16,1102 Vincentia LOCAL,40,
0,Sunday,1102 CCAM,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,10:00,11:00,Saturday,18:00,Sunday,05:17,1102 Vincentia LOCAL,40,
68867,Sunday,1102 CCMD,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,11:00,12:00,Saturday,23:00,Sunday,10:00,1102 Vincentia LOCAL,40,
0,Sunday,1102 CCMD,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,12:00,13:00,Saturday,23:00,Sunday,10:01,1102 Vincentia LOCAL,40,
0,Sunday,1102 CCMD,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,13:00,14:00,Saturday,23:00,Sunday,10:02,1102 Vincentia LOCAL,40,
0,Sunday,1102 CCMD,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,14:00,15:00,Saturday,23:00,Sunday,10:03,1102 Vincentia LOCAL,40,
0,Sunday,1102 CCMD,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,15:00,16:00,Saturday,23:00,Sunday,10:04,1102 Vincentia LOCAL,40,
68868,Sunday,1102 CCPM,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,16:00,17:00,Sunday,11:00,Sunday,14:30,1102 Vincentia LOCAL,40,
0,Sunday,1102 CCPM,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,17:00,18:00,Sunday,11:00,Sunday,14:31,1102 Vincentia LOCAL,40,
0,Sunday,1102 CCPM,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,18:00,19:00,Sunday,11:00,Sunday,14:32,1102 Vincentia LOCAL,40,
0,Sunday,1102 CCPM,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,19:00,20:00,Sunday,11:00,Sunday,14:33,1102 Vincentia LOCAL,40,
68869,Monday,1102 CCAM,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,08:00,09:00,Sunday,18:00,Monday,05:15,1102 Vincentia LOCAL,40,
0,Monday,1102 CCAM,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,09:00,10:00,Sunday,18:00,Monday,05:16,1102 Vincentia LOCAL,40,
0,Monday,1102 CCAM,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,10:00,11:00,Sunday,18:00,Monday,05:17,1102 Vincentia LOCAL,40,
68870,Monday,1102 CCMD,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,11:00,12:00,Sunday,23:00,Monday,10:00,1102 Vincentia LOCAL,40,
0,Monday,1102 CCMD,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,12:00,13:00,Sunday,23:00,Monday,10:01,1102 Vincentia LOCAL,40,
0,Monday,1102 CCMD,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,13:00,14:00,Sunday,23:00,Monday,10:02,1102 Vincentia LOCAL,40,
0,Monday,1102 CCMD,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,14:00,15:00,Sunday,23:00,Monday,10:03,1102 Vincentia LOCAL,40,
0,Monday,1102 CCMD,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,15:00,16:00,Sunday,23:00,Monday,10:04,1102 Vincentia LOCAL,40,
68871,Monday,1102 CCPM,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,16:00,17:00,Monday,11:00,Monday,14:30,1102 Vincentia LOCAL,40,
0,Monday,1102 CCPM,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,17:00,18:00,Monday,11:00,Monday,14:31,1102 Vincentia LOCAL,40,
0,Monday,1102 CCPM,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,18:00,19:00,Monday,11:00,Monday,14:32,1102 Vincentia LOCAL,40,
0,Monday,1102 CCPM,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,19:00,20:00,Monday,11:00,Monday,14:33,1102 Vincentia LOCAL,40,
68872,Tuesday,1102 CCAM,Pickup Pickup,20/1/2016,31/12/2099,VINCENTIA,HOMESHOP,08:00,09:00,Monday,18:00,Tuesday,05:15,1102 Vincentia LOCAL,40,
