WindowId,Day,Session,Method,Start Date,End Date,Fulfilment Centre,Fulfilment Type,Start Time,End Time,Web Cutoff Day,Web Cutoff Time,Pickup Day,Pickup Time,Region,Limit,IsDelete
85406,Sunday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,11:00,12:00,Saturday,23:00,Sunday,10:01,1140 St Clair LOCAL,10,
0,Sunday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,12:00,13:00,Saturday,23:00,Sunday,10:02,1140 St Clair LOCAL,10,
0,Sunday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,13:00,14:00,Saturday,23:00,Sunday,10:03,1140 St Clair LOCAL,10,
0,Sunday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,14:00,15:00,Saturday,23:00,Sunday,10:04,1140 St Clair LOCAL,10,
0,Sunday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,15:00,16:00,Saturday,23:00,Sunday,10:05,1140 St Clair LOCAL,10,
85413,Sunday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,16:00,17:00,Sunday,11:00,Sunday,14:31,1140 St Clair LOCAL,10,
0,Sunday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,17:00,18:00,Sunday,11:00,Sunday,14:32,1140 St Clair LOCAL,10,
0,Sunday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,18:00,19:00,Sunday,11:00,Sunday,14:33,1140 St Clair LOCAL,10,
0,Sunday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,19:00,20:00,Sunday,11:00,Sunday,14:34,1140 St Clair LOCAL,10,
85407,Monday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,11:00,12:00,Sunday,23:00,Monday,10:01,1140 St Clair LOCAL,10,
0,Monday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,12:00,13:00,Sunday,23:00,Monday,10:02,1140 St Clair LOCAL,10,
0,Monday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,13:00,14:00,Sunday,23:00,Monday,10:03,1140 St Clair LOCAL,10,
0,Monday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,14:00,15:00,Sunday,23:00,Monday,10:04,1140 St Clair LOCAL,10,
0,Monday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,15:00,16:00,Sunday,23:00,Monday,10:05,1140 St Clair LOCAL,10,
85414,Monday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,16:00,17:00,Monday,11:00,Monday,14:31,1140 St Clair LOCAL,10,
0,Monday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,17:00,18:00,Monday,11:00,Monday,14:32,1140 St Clair LOCAL,10,
0,Monday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,18:00,19:00,Monday,11:00,Monday,14:33,1140 St Clair LOCAL,10,
0,Monday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,19:00,20:00,Monday,11:00,Monday,14:34,1140 St Clair LOCAL,10,
85408,Tuesday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,11:00,12:00,Monday,23:00,Tuesday,10:01,1140 St Clair LOCAL,10,
0,Tuesday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,12:00,13:00,Monday,23:00,Tuesday,10:02,1140 St Clair LOCAL,10,
0,Tuesday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,13:00,14:00,Monday,23:00,Tuesday,10:03,1140 St Clair LOCAL,10,
0,Tuesday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,14:00,15:00,Monday,23:00,Tuesday,10:04,1140 St Clair LOCAL,10,
0,Tuesday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,15:00,16:00,Monday,23:00,Tuesday,10:05,1140 St Clair LOCAL,10,
85415,Tuesday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,16:00,17:00,Tuesday,11:00,Tuesday,14:31,1140 St Clair LOCAL,10,
0,Tuesday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,17:00,18:00,Tuesday,11:00,Tuesday,14:32,1140 St Clair LOCAL,10,
0,Tuesday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,18:00,19:00,Tuesday,11:00,Tuesday,14:33,1140 St Clair LOCAL,10,
0,Tuesday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,19:00,20:00,Tuesday,11:00,Tuesday,14:34,1140 St Clair LOCAL,10,
85409,Wednesday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,11:00,12:00,Tuesday,23:00,Wednesday,10:01,1140 St Clair LOCAL,10,
0,Wednesday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,12:00,13:00,Tuesday,23:00,Wednesday,10:02,1140 St Clair LOCAL,10,
0,Wednesday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,13:00,14:00,Tuesday,23:00,Wednesday,10:03,1140 St Clair LOCAL,10,
0,Wednesday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,14:00,15:00,Tuesday,23:00,Wednesday,10:04,1140 St Clair LOCAL,10,
0,Wednesday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,15:00,16:00,Tuesday,23:00,Wednesday,10:05,1140 St Clair LOCAL,10,
85416,Wednesday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,16:00,17:00,Wednesday,11:00,Wednesday,14:31,1140 St Clair LOCAL,10,
0,Wednesday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,17:00,18:00,Wednesday,11:00,Wednesday,14:32,1140 St Clair LOCAL,10,
0,Wednesday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,18:00,19:00,Wednesday,11:00,Wednesday,14:33,1140 St Clair LOCAL,10,
0,Wednesday,1140 CCPM,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,19:00,20:00,Wednesday,11:00,Wednesday,14:34,1140 St Clair LOCAL,10,
85410,Thursday,1140 CCMD,Pickup Pickup,14/8/2017,31/12/2099,ST CLAIR,HOMESHOP,11:00,12:00,Wednesday,23:00,Thursday,10:01,1140 St Clair LOCAL,10,
